name,stats,subtext1,subtext2,subtext3,subtext4,author,inspiration,inspiration-source,source,source-url
Acolyte,"4 HP, 1 Armor, 14 WIL, mace (d6), Holy Symbol (Ward once per day)",""" • Holy men in a quest for their deity.""",""" • Normally travel in groups of 4+.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
category: monsters
Ankheg,"7 HP, 2 Armor, 16 STR, 8 WIL, bite (d8)",""" • Huge insectoids with multiple legs and shiny black eyes.""",""" • Stay burrowed just beneath the surfaces to ambush creatures walking above.""",""" • Squirts acid on distant enemies for d10 damage.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Ape, White","5 HP, 14 STR, claws (d6+d6)",""" • Albino gorillas with nocturnal habits.""",""" • Defend their territory with threats and then violence.""",""" • Throw rocks at enemies for d6 damage.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Bandit,"4 HP, 14 DEX, dagger(d6)",""" • Thieves who will value money over anything.""",""" • Use disguises, stealth, and trickery to surprise victims.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Banshee,"7 HP, 3 Armor, 6 STR, 12 DEX,  14 WIL, ghostly touch(d8)",""" • Incorporeal feminine spirits that lingered after death and haunt the living.""",""" • Unharmed by cold, heat, or the elements.""",""" • Critical damage: Their wailing freezes the victim’s soul (d8 WIL damage)""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
Basilisk,"6 HP, 12 STR, 13 DEX, bite (d10)",""" • Long, magical, serpentine lizards that dwell in caverns.""",""" • Anyone who looks directly at them starts to get petrified.""",""" • Critical damage: the victim gets petrified (d8+d8 DEX damage).""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Bat, Vampire","3 HP,  8 STR, bite (d8)",""" • Big, flying mammals with nocturnal habits that nest in caves.""",""" • Unaffected by darkness or blinding effects, blinded by magical silence or constant loud noises.""",""" • Recover 1d4 HP after biting a victim that has blood.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Bear, Black","5 HP, 14 STR, claws (d6)",""" • 6’ tall bears who eat mostly berries and roots.""",""" • Only attack if cornered or to protect their young.""",""" • Sometimes raids camps for food.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Bear, Cave","8 HP, 17 STR, claws (d10)",""" • Ferocious 15’ tall carnivorous bears who live in caves.""",""" • Have poor eyesight, but track using smell. Follow tracks of blood.""",""" • Critical damage: Hug victims for d8 damage.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Bear, Grizzly","6 HP, 15 STR, claws (d8)",""" • Aggressive, 9’ tall reddish-brown furred bears who live in mountains. Prefer to eat meat.""",""" • Frequently are found sleeping.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Bear, Polar","7 HP, 16 STR, claws (d8)",""" • 11’ tall white-furred bears who live in cold regions, eat mostly fish.""",""" • Excellent at swimming.""",""" • Can move effortlessly through snow and ice.""",,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Beetle, Fire","2 HP, 4 STR, 12 DEX, 6 WIL, bite(d4)",""" • 3’ long beetles commonly found underground.""",""" • Emits light through glands located in the abdomens and above the eyes,""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
"Beetle, Tiger","3 HP, 6 STR, 12 DEX, 6 WIL, bite (d6)",""" • 4’ long striped beetles with strong mandibles.""",""" • Eats other smaller creatures but sometimes hunts humans.""",,,xenio,TSR Monsters,https://oldschoolessentials.necroticgnome.com/srd/index.php/Monster_Descriptions,xenio in a bottle,https://xenioinabottle.blogspot.com/2021/02/classic-monsters-for-cairnito-part-1.html
